Date,Location,Ticket Type,Group
2024-09-19,NTUC FairPrice Clementi Avenue 3 - Block 451 Clementi Avenue 3 #01-307,1 System 8 Entry,2
2024-09-19,NTUC FairPrice Killiney Road - 131 Killiney Road #01-01/02/03 Orchard Grand Court,1 System 8 Entry,2
2024-09-19,NTUC FairPrice Punggol Plaza - 168 Punggol Field Road #03-01 Punggol Plaza,1 System 8 Entry,2
2024-09-19,Singapore Pools Account Betting Service - -,1 System 8 Entry,2
2024-09-19,Singapore Pools Account Betting Service - -,1 System 8 Entry,2
2024-09-19,Singapore Pools Account Betting Service - -,1 System 8 Entry,2
2024-09-19,Singapore Pools Account Betting Service - -,1 System 8 Entry,2
2024-09-19,Singapore Pools Account Betting Service - -,1 System 8 Entry,2
2024-09-19,Singapore Pools Account Betting Service - -,1 System 8 Entry,2
2024-09-19,Singapore Pools Bencoolen Branch - 180 Bencoolen Street #01-59 The Bencoolen,1 System 8 Entry,2
2024-09-19,Singapore Pools Yishun N2 Branch - Block 256 Yishun Ring Road #01-1001,1 System 8 Entry,2
2024-09-19,Tay Sui Lan Agency - 11 Collyer Quay #02-13 The Arcade,1 System 8 Entry,2
2024-09-19,NTUC FairPrice Bedok North Street 4 - Block 89 Bedok North Street 4 #01-77/79,2 System 7 Entry,2
2024-09-19,Singapore Pools Account Betting Service - -,2 System 7 Entry,2
2024-09-19,Singapore Pools Account Betting Service - -,2 System 7 Entry,2
2024-09-19,7-Eleven Store Bukit Batok West Avenue 6 - Block 132 Bukit Batok West Avenue 6 #01-304,1 System 7 Entry,2
2024-09-19,7-Eleven Store McCallum Street - 3 McCallum Street,1 System 7 Entry,2
2024-09-19,7-Eleven Store Sin Ming - 244H Upper Thomson Road,1 System 7 Entry,2
2024-09-19,Cheers Bedok North Street 3 - Block 539 Bedok North Street 3 #01-625,1 System 7 Entry,2
2024-09-19,Evercool Engineering - Block 95 Lorong 4 Toa Payoh #01-50,1 System 7 Entry,2
2024-09-19,Nalayanee Trading Enterprise - 127 Upper Paya Lebar Road,1 System 7 Entry,2
2024-09-19,Ng Nam Thye Trading - Ang Mo Kio Avenue 3 - 51 Ang Mo Kio Avenue 3 #01-01B 51@AMK,1 System 7 Entry,2
2024-09-19,NTUC FairPrice Bukit Panjang Plaza - 1 Jelebu Road #01-15/#02-20 Bukit Panjang Plaza,1 System 7 Entry,2
2024-09-19,NTUC FairPrice Changi Business Park - 8 Changi Business Park Avenue 1 #01-51/#02-51,1 System 7 Entry,2
2024-09-19,NTUC FairPrice Clementi Avenue 2 - Block 352 Clementi Avenue 2 #01-141/143,1 System 7 Entry,2
2024-09-19,NTUC FairPrice Compassvale Link - Block 277C Compassvale Link #01-13 (Unit 2B),1 System 7 Entry,2
